Player,Inns,Runs,Overs,Conc,Wkts,Ct,St,Opposition,Ground,StartDate,Result
ISharma,1,0,9,33,3,0,0,vSriLanka,Cardiff,6/20/2013,yes
STRBinny,2,0,8,33,3,2,0,vEngland,Perth,1/30/2015,yes
ARPatel,1,0,10,34,3,0,0,vSriLanka,Dambulla,8/20/2017,yes
SKRaina,1,0,10,34,3,0,0,vWestIndies,Kochi,11/21/2013,yes
ISharma,1,0,9.3,34,3,0,0,vPakistan,Kolkata,1/3/2013,yes
JJBumrah,1,0,10,35,3,0,0,vNewZealand,Delhi,10/20/2016,yes
MohammedShami,1,0,8,35,3,1,0,vWestIndies,Perth,3/6/2015,yes
UTYadav,1,0,10,36,3,1,0,vWestIndies,NorthSound,7/2/2017,yes
ISharma,2,0,9.5,36,3,0,0,vPakistan,Delhi,1/6/2013,yes
RAJadeja,1,0,10,37,3,1,0,vWestIndies,Kochi,11/21/2013,yes
RAshwin,1,0,10,39,3,0,0,vEngland,Nottingham,8/30/2014,yes
RAJadeja,1,0,10,39,3,1,0,vEngland,Mohali,1/23/2013,yes
RAshwin,2,0,7,39,3,0,0,vEngland,Kochi,1/15/2013,yes
ARPatel,2,0,10,39,3,0,0,vSouthAfrica,Indore,10/14/2015,yes
HHPandya,1,0,10,40,3,0,0,vWestIndies,NorthSound,7/2/2017,yes
ARPatel,1,0,10,40,3,0,0,vSriLanka,Hyderabad(Deccan),11/9/2014,yes
RAJadeja,1,0,10,41,3,0,0,vPakistan,Kolkata,1/3/2013,yes
MohammedShami,1,0,9,41,3,1,0,vIreland,Hamilton,3/10/2015,yes
RAshwin,2,0,10,41,3,0,0,vSouthAfrica,Melbourne,2/22/2015,yes
KuldeepYadav,2,0,10,41,3,0,0,vWestIndies,NorthSound,6/30/2017,yes
BKumar,2,0,8.4,41,3,0,0,vSouthAfrica,Indore,10/14/2015,yes
MohammedShami,1,0,8,42,3,0,0,vAustralia,Ranchi,10/23/2013,yes
AMishra,1,0,10,43,3,0,0,vZimbabwe,Harare,7/24/2013,yes
UTYadav,1,0,9.5,43,3,1,0,vZimbabwe,Auckland,3/14/2015,yes
UTYadav,2,0,9.4,43,3,0,0,vWestIndies,Kingston,6/30/2013,yes
RAshwin,2,0,9.4,44,3,1,0,vPakistan,Dhaka,3/2/2014,yes
RAJadeja,2,0,9,44,3,0,0,vWestIndies,Delhi,10/11/2014,yes
SKRaina,2,0,8,45,3,0,0,vBangladesh,Dhaka,6/24/2015,yes
RAshwin,1,0,10,48,3,0,0,vSriLanka,Cardiff,6/20/2013,yes
MohammedShami,1,0,9,48,3,0,0,vZimbabwe,Auckland,3/14/2015,yes
MohammedShami,1,0,8,48,3,0,0,vSouthAfrica,Durban,12/8/2013,yes
MMSharma,1,0,10,48,3,1,0,vZimbabwe,Auckland,3/14/2015,yes
UTYadav,1,0,9,48,3,0,0,vBangladesh,Dhaka,6/15/2014,yes
AMishra,1,0,8.5,49,3,1,0,vNewZealand,Dharamsala,10/16/2016,yes
HHPandya,1,0,10,49,3,0,0,vEngland,Kolkata,1/22/2017,yes
KuldeepYadav,2,0,9,50,3,0,0,vWestIndies,PortofSpain,6/25/2017,yes
RAshwin,1,0,10,51,3,0,0,vBangladesh,Dhaka,6/18/2015,yes
MohammedShami,2,0,8.1,52,3,1,0,vAustralia,Bengaluru,11/2/2013,yes
UTYadav,1,0,10,53,3,0,0,vWestIndies,Kingston,7/6/2017,yes
MohammedShami,1,0,7,55,3,2,0,vNewZealand,Hamilton,1/22/2014,yes
STRBinny,2,0,10,55,3,0,0,vZimbabwe,Harare,7/14/2015,yes
BBSran,2,0,9.2,56,3,1,0,vAustralia,Perth,1/12/2016,yes
DSKulkarni,1,0,8,57,3,0,0,vSriLanka,Ranchi,11/16/2014,yes
AMishra,1,0,10,60,3,0,0,vNewZealand,Delhi,10/20/2016,yes
RAshwin,2,0,10,65,3,0,0,vEngland,Cuttack,1/19/2017,yes
UTYadav,1,0,10,67,3,0,0,vAustralia,Canberra,1/20/2016,yes
MohammedShami,1,0,10,68,3,0,0,vSouthAfrica,Johannesburg,12/5/2013,yes
BKumar,2,0,10,68,3,0,0,vSouthAfrica,Chennai,10/22/2015,yes
MohammedShami,1,0,10,69,3,0,0,vSouthAfrica,Centurion,12/11/2013,yes
RAJadeja,2,0,10,73,3,1,0,vAustralia,Bengaluru,11/2/2013,yes
UTYadav,1,0,10,75,3,0,0,vNewZealand,Mohali,10/23/2016,yes
MohammedShami,2,0,10,81,3,0,0,vSriLanka,Fatullah,2/28/2014,yes
KMJadhav,1,0,3,6,2,1,0,vNewZealand,Dharamsala,10/16/2016,no
