Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,StartDate,Result
MSDhoni,23,20,13,3,0,176.92,1,vSouthAfrica,Colombo(RPS),2/10/2012,no
VKohli,23,23,22,2,1,104.54,1,vAustralia,Dhaka,30/03/14,no
VKohli,23,0,27,2,0,85.18,2,vNewZealand,Nagpur,15/03/16,no
SDhawan,23,33,22,2,1,104.54,1,vBangladesh,Bengaluru,23/03/16,no
SDhawan,23,0,12,5,0,191.66,1,vWestIndies,Kingston,9/7/2017,no
MSDhoni,22,16,12,1,2,183.33,2,vBangladesh,Dhaka,28/03/14,no
AMRahane,22,0,24,1,0,91.66,2,vSriLanka,Visakhapatnam,14/02/16,no
RGSharma,22,40,24,2,0,91.66,1,vSouthAfrica,Cuttack,5/10/2015,no
SKRaina,22,46,24,3,0,91.66,1,vSouthAfrica,Cuttack,5/10/2015,no
KLRahul,22,21,20,3,1,110,1,vZimbabwe,Harare,22/06/16,no
KLRahul,22,39,18,2,1,122.22,1,vEngland,Bengaluru,1/2/2017,no
YuvrajSingh,21,18,15,1,2,140,1,vSouthAfrica,Colombo(RPS),2/10/2012,no
VKohli,21,35,17,2,0,123.52,2,vEngland,Pune,20/12/12,no
GGambhir,21,22,11,4,0,190.9,1,vPakistan,Ahmedabad,28/12/12,no
SKRaina,21,15,10,3,1,210,2,vSouthAfrica,Dhaka,4/4/2014,no
YuvrajSingh,21,31,18,1,1,116.66,2,vAustralia,Mohali,27/03/16,no
VKohli,21,17,15,2,1,140,1,vEngland,Nagpur,29/01/17,no
MSDhoni,20,22,12,2,1,166.66,1,vSouthAfrica,Dharamsala,2/10/2015,no
MSDhoni,20,7,6,1,2,333.33,2,vBangladesh,Dhaka,6/3/2016,no
ARPatel,20,20,11,0,1,181.81,1,vZimbabwe,Harare,22/06/16,no
SKRaina,20,33,20,1,1,100,1,vSriLanka,Pune,9/2/2016,no
ATRayudu,20,47,26,1,0,76.92,1,vZimbabwe,Harare,22/06/16,no
YuvrajSingh,19,24,16,2,0,118.75,2,vPakistan,Colombo(RPS),30/09/12,no
MSDhoni,19,0,17,1,0,111.76,2,vZimbabwe,Harare,18/06/16,no
AMRahane,19,25,13,0,2,146.15,2,vEngland,Pune,20/12/12,no
SKRaina,19,17,13,2,1,146.15,2,vAustralia,Rajkot,10/10/2013,no
AMRahane,19,34,16,2,0,118.75,1,vAustralia,Dhaka,30/03/14,no
MKPandey,19,23,19,1,1,100,1,vZimbabwe,Harare,17/07/15,no
SVSamson,19,0,24,1,0,79.16,2,vZimbabwe,Harare,19/07/15,no
ATRayudu,19,0,16,4,0,118.75,2,vZimbabwe,Harare,18/06/16,no
KMJadhav,19,0,13,1,1,146.15,2,vZimbabwe,Harare,18/06/16,no
MSDhoni,18,21,9,2,1,200,1,vAfghanistan,Colombo(RPS),19/09/12,no
MSDhoni,18,29,10,3,0,180,2,vAustralia,Mohali,27/03/16,no
YuvrajSingh,18,26,20,0,1,90,1,vAfghanistan,Colombo(RPS),19/09/12,no
YuvrajSingh,18,24,17,2,0,105.88,2,vSouthAfrica,Dhaka,4/4/2014,no
RGSharma,18,29,16,1,1,112.5,1,vBangladesh,Bengaluru,23/03/16,no
ARPatel,18,0,9,1,2,200,2,vZimbabwe,Harare,18/06/16,no
GGambhir,17,12,12,3,0,141.66,1,vAustralia,Colombo(RPS),28/09/12,no
VSehwag,17,25,14,1,1,121.42,1,vSouthAfrica,Colombo(RPS),2/10/2012,no
GGambhir,17,52,27,1,0,62.96,1,vEngland,Mumbai,22/12/12,no
RAshwin,16,18,12,1,1,133.33,1,vAustralia,Colombo(RPS),28/09/12,no
SDhawan,16,46,20,3,0,80,2,vU.A.E.,Dhaka,3/3/2016,no
GGambhir,16,23,16,3,0,100,2,vEngland,Pune,20/12/12,no
VKohli,16,8,9,3,0,177.77,2,vWestIndies,Lauderhill,27/08/16,no
YuvrajSingh,15,28,12,1,1,125,2,vAustralia,Sydney,31/01/16,no
MSDhoni,15,24,9,1,0,166.66,1,vWestIndies,Mumbai,31/03/16,no
VKohli,15,18,13,2,0,115.38,1,vAustralia,Colombo(RPS),28/09/12,no
MSDhoni,15,21,21,2,0,71.42,1,vAustralia,Colombo(RPS),28/09/12,no
YuvrajSingh,15,29,16,1,0,93.75,1,vBangladesh,Dhaka,24/02/16,no
RGSharma,15,15,14,3,0,107.14,2,vSriLanka,Dhaka,1/3/2016,no
HHPandya,15,9,7,2,1,214.28,1,vBangladesh,Bengaluru,23/03/16,no
YuvrajSingh,14,66,32,2,0,43.75,2,vPakistan,Dhaka,27/02/16,no
SKRaina,14,16,8,0,2,175,1,vSouthAfrica,Dharamsala,2/10/2015,no
MSDhoni,14,18,9,2,0,155.55,1,vAustralia,Melbourne,29/01/16,no
MSDhoni,13,15,9,0,1,144.44,2,vPakistan,Kolkata,19/03/16,no
MSDhoni,13,29,12,1,0,108.33,1,vBangladesh,Bengaluru,23/03/16,no
RAJadeja,13,0,8,0,1,162.5,1,vWestIndies,Kingston,9/7/2017,no
MVijay,13,0,11,0,1,118.18,2,vZimbabwe,Harare,19/07/15,no
ARPatel,13,0,15,1,0,86.66,2,vZimbabwe,Harare,19/07/15,no
RGSharma,13,0,13,1,1,100,2,vSriLanka,Visakhapatnam,14/02/16,no
SKRaina,13,14,13,2,0,100,1,vBangladesh,Dhaka,24/02/16,no
SDhawan,13,16,12,1,1,108.33,2,vAustralia,Mohali,27/03/16,no
RAJadeja,12,15,8,2,0,150,1,vBangladesh,Bengaluru,23/03/16,no
RGSharma,12,25,17,1,0,70.58,2,vAustralia,Mohali,27/03/16,no
YuvrajSingh,12,13,13,1,0,92.3,1,vEngland,Kanpur,26/01/17,no
MSDhoni,11,3,3,1,1,366.66,1,vAustralia,Adelaide,26/01/16,no
RAshwin,11,0,7,1,0,157.14,1,vWestIndies,Kingston,9/7/2017,no
YuvrajSingh,11,30,21,0,0,52.38,1,vSriLanka,Dhaka,6/4/2014,no
STRBinny,11,8,6,0,1,183.33,1,vZimbabwe,Harare,17/07/15,no
SDhawan,11,19,12,2,0,91.66,1,vSouthAfrica,Cuttack,5/10/2015,no
RAshwin,11,24,15,1,0,73.33,1,vSouthAfrica,Cuttack,5/10/2015,no
HHPandya,11,3,4,0,1,275,1,vEngland,Bengaluru,1/2/2017,no
RGSharma,10,9,8,0,1,125,2,vWestIndies,Lauderhill,28/08/16,no
GGambhir,10,14,8,1,0,125,1,vAfghanistan,Colombo(RPS),19/09/12,no
YuvrajSingh,10,21,9,0,1,111.11,1,vPakistan,Bengaluru,25/12/12,no
SKRaina,10,11,9,1,0,111.11,1,vPakistan,Bengaluru,25/12/12,no
YuvrajSingh,10,19,19,1,0,52.63,2,vWestIndies,Dhaka,23/03/14,no
YuvrajSingh,10,22,14,0,1,71.42,1,vSriLanka,Pune,9/2/2016,no
RAshwin,10,0,20,0,0,50,2,vNewZealand,Nagpur,15/03/16,no
RGSharma,10,11,11,2,0,90.9,2,vPakistan,Kolkata,19/03/16,no
SKRaina,10,9,7,1,0,142.85,2,vAustralia,Mohali,27/03/16,no
MSDhoni,9,0,5,1,0,180,1,vSriLanka,Ranchi,12/2/2016,no
MSDhoni,9,23,8,1,0,112.5,1,vEngland,Colombo(RPS),23/09/12,no
VKohli,9,15,11,1,0,81.81,1,vPakistan,Bengaluru,25/12/12,no
KMJadhav,9,10,7,1,0,128.57,1,vZimbabwe,Harare,17/07/15,no
BKumar,9,0,6,0,0,150,2,vZimbabwe,Harare,19/07/15,no
ARPatel,9,18,12,0,0,75,1,vSouthAfrica,Cuttack,5/10/2015,no
SDhawan,9,25,13,0,1,69.23,1,vSriLanka,Pune,9/2/2016,no
MSDhoni,9,19,13,1,0,69.23,1,vZimbabwe,Harare,22/06/16,no
HHPandya,9,14,12,0,0,75,1,vEngland,Kanpur,26/01/17,no
RGSharma,9,0,8,1,0,112.5,2,vSriLanka,Colombo(RPS),6/9/2017,no
HarbhajanSingh,8,3,3,1,0,266.66,1,vZimbabwe,Harare,17/07/15,no
MSDhoni,8,4,2,0,1,400,1,vBangladesh,Dhaka,24/02/16,no
VSehwag,8,25,10,1,0,80,1,vAfghanistan,Colombo(RPS),19/09/12,no
IKPathan,8,14,8,1,0,100,1,vEngland,Colombo(RPS),23/09/12,no
YuvrajSingh,8,11,10,1,0,80,1,vAustralia,Colombo(RPS),28/09/12,no
GGambhir,8,15,12,1,0,66.66,1,vSouthAfrica,Colombo(RPS),2/10/2012,no
RGSharma,8,8,8,0,1,100,2,vAustralia,Rajkot,10/10/2013,no
AMRahane,8,6,4,0,1,200,2,vEngland,Birmingham,7/9/2014,no
KLRahul,8,21,9,1,0,88.88,1,vEngland,Kanpur,26/01/17,no
MSDhoni,7,6,3,1,0,233.33,2,vPakistan,Dhaka,27/02/16,no
MSDhoni,7,7,4,0,1,175,2,vSriLanka,Dhaka,1/3/2016,no
RAJadeja,7,8,4,1,0,175,2,vEngland,Birmingham,7/9/2014,no
VKohli,7,13,12,1,0,58.33,1,vBangladesh,Dhaka,24/02/16,no
AMRahane,7,14,7,1,0,100,2,vWestIndies,Lauderhill,27/08/16,no
SKRaina,7,16,10,0,0,70,1,vEngland,Nagpur,29/01/17,no
BKumar,6,13,6,0,0,100,1,vPakistan,Bengaluru,25/12/12,no
SKRaina,6,11,10,0,0,60,1,vAustralia,Dhaka,30/03/14,no
RAJadeja,6,15,9,0,0,66.66,1,vSriLanka,Pune,9/2/2016,no
ANehra,6,21,19,0,0,31.57,1,vSriLanka,Pune,9/2/2016,no
SDhawan,6,24,15,1,0,40,2,vPakistan,Kolkata,19/03/16,no
